path,ext,size,status,rationale
CHANGELOG_v4_3_118.md,.md,544,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_107.md,.md,432,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_105.md,.md,603,LIKELY_PROJECT_AUTHORED,license-marker:CC; local text/code; no external URL detected
CHANGELOG_v4_3_52.md,.md,426,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_6_2.md,.md,200,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
quran.js,.js,16963,REVIEW_EXTERNAL_REFERENCES,4 external URL(s)
sophies-world-reader.html,.html,2451,REVIEW_EXTERNAL_REFERENCES,1 external URL(s); rights/license wording detected
TEST_REPORT_v4_3_71_MAP_RELIABILITY.md,.md,939,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
bahai.html,.html,9704,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
meditations-reader.html,.html,2410,REVIEW_EXTERNAL_REFERENCES,1 external URL(s); rights/license wording detected
CHANGELOG_v4_5_0.md,.md,550,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_8_0.md,.md,458,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_50.md,.md,665,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_68.md,.md,670,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_60.md,.md,620,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
chaam-midwives.html,.html,35767,REVIEW_EXTERNAL_REFERENCES,22 external URL(s)
guru-granth.html,.html,9066,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
verwithagen-erasmus.html,.html,14991,REVIEW_EXTERNAL_REFERENCES,20 external URL(s)
complete-sacred-reader.css,.css,2275,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
research-report.css,.css,369,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
knowledge-graph.html,.html,5117,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
red-heifer.css,.css,1431,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
hallaj.html,.html,14095,REVIEW_EXTERNAL_REFERENCES,4 external URL(s)
TEST_REPORT_v4_8_0.md,.md,184,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
luxdot-research-standard-preview.css,.css,499,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
